site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
173,MPLS_1,78,11,0.54,3,4,2400,6400
173,Internet,178,17,3,18,18,1800,0
174,MPLS_0,124,12,1.15,17,29,10200,5400
174,MPLS_1,82,10,0.75,5,7,2500,1500
174,Internet,173,15,1,15,15,1500,0
175,MPLS_0,105,15,1.01,10,16,7000,2100
175,MPLS_2,75,11,0.54,4,6,2000,1500
175,Internet,146,18,7,5,5,500,0
176,MPLS_0,122,14,1.93,16,28,8000,2000
176,MPLS_1,78,8,0.77,7,11,5600,5600
176,Internet,219,16,1,14,14,1400,0
177,MPLS_2,71,7,0.52,100,192,60000,2400
177,Internet,198,17,7,39,39,3900,0
178,MPLS_2,87,12,0.6,23,40,16100,4200
178,Internet,208,12,9,21,21,2100,0
179,MPLS_2,81,7,0.55,3,5,1800,5400
179,MPLS_1,102,14,1.58,16,24,12800,7200
179,MPLS_0,67,12,0.58,3,5,2400,3200
179,Internet,201,16,2,17,17,1700,0
180,MPLS_2,68,12,0.61,77,139,46200,4200
180,MPLS_1,74,8,0.72,89,135,53400,4200
180,MPLS_0,84,16,1.97,533,1038,426400,4000
180,Internet,210,19,4,411,411,41100,0
181,MPLS_1,66,11,0.5,30,55,21000,2800
181,MPLS_0,116,13,0.94,62,119,37200,6000
181,Internet,157,18,4,38,38,3800,0
182,MPLS_0,71,10,0.57,89,156,44500,3500
182,MPLS_1,118,13,1.23,207,347,103500,5000
182,Internet,186,15,2,274,274,27400,0
183,MPLS_2,117,12,1.82,51,82,25500,2000
183,MPLS_0,81,7,0.72,20,39,16000,8000
183,Internet,153,13,6,51,51,5100,0
184,MPLS_0,68,10,0.71,4,7,3200,6400
184,MPLS_2,101,12,0.96,9,13,5400,3000
184,Internet,148,19,10,5,5,500,0
185,MPLS_1,80,12,0.5,23,45,11500,2500
185,MPLS_0,88,13,1.87,79,149,63200,3200
185,Internet,150,12,8,77,77,7700,0
186,MPLS_2,89,12,1.51,50,77,30000,3000
186,MPLS_1,68,7,0.42,21,41,12600,4800
186,Internet,167,12,4,49,49,4900,0
187,MPLS_0,138,13,1.97,37,67,22200,4800
187,MPLS_1,67,11,0.45,14,25,7000,2500
187,Internet,206,13,3,35,35,3500,0
188,MPLS_0,66,9,0.49,11,17,5500,1500
188,Internet,182,18,9,7,7,700,0
189,MPLS_0,63,7,0.7,163,294,81500,2000
189,MPLS_2,84,13,1.25,339,623,271200,7200
189,Internet,142,19,4,307,307,30700,0
190,MPLS_1,78,9,0.51,10,17,8000,2400
190,MPLS_2,126,13,1.78,50,96,30000,5400
190,MPLS_0,69,13,0.59,10,15,7000,2800
190,Internet,197,16,6,45,45,4500,0
191,MPLS_0,89,9,0.59,3,5,1800,4800
191,MPLS_1,69,12,0.55,3,5,2400,4000
191,MPLS_2,128,15,1.68,14,27,7000,4000
191,Internet,208,19,6,9,9,900,0
192,MPLS_2,81,13,0.6,9,15,6300,2100
192,MPLS_0,115,13,1.24,20,32,16000,6400
192,Internet,192,12,4,28,28,2800,0
193,MPLS_1,134,16,1.53,284,433,170400,6000
193,MPLS_0,83,10,0.61,87,171,69600,2400
193,Internet,167,13,9,247,247,24700,0
194,MPLS_0,89,12,1.87,210,400,147000,3500
194,MPLS_1,83,10,0.52,75,130,45000,3000
194,Internet,218,17,10,133,133,13300,0
195,MPLS_2,69,8,0.65,12,22,7200,4800
195,MPLS_0,106,15,0.87,27,50,21600,4800
195,Internet,158,16,1,16,16,1600,0
196,MPLS_0,70,10,0.53,25,42,12500,2000
196,MPLS_2,90,12,1.77,60,109,48000,3200
196,Internet,207,15,6,49,49,4900,0
197,MPLS_2,124,16,1.83,4,6,2400,3000
197,MPLS_0,68,8,0.46,1,1,700,5600
197,Internet,174,19,7,3,3,300,0
198,MPLS_0,91,14,1.3,28,55,19600,3500
198,MPLS_2,69,8,0.44,12,23,6000,4000
198,Internet,208,20,9,15,15,1500,0
199,MPLS_1,63,13,0.5,14,24,11200,5600
199,MPLS_2,101,13,0.88,34,56,20400,4200
199,Internet,149,13,4,37,37,3700,0
200,MPLS_1,72,7,0.47,11,19,8800,7200
200,MPLS_2,68,13,0.74,10,15,5000,4500
200,MPLS_0,130,13,1.4,36,68,21600,4800
200,Internet,146,17,10,47,47,4700,0
201,MPLS_1,64,9,0.41,2,3,1200,3000
201,MPLS_2,126,16,1.64,12,19,8400,4900
201,MPLS_0,86,12,0.75,2,3,1600,2400
201,Internet,219,19,4,7,7,700,0
202,MPLS_1,148,15,1.19,8,14,5600,5600
202,MPLS_0,84,11,0.48,3,5,2400,5600
202,Internet,156,16,9,9,9,900,0
203,MPLS_2,78,11,0.61,31,53,24800,7200
203,MPLS_1,129,12,1.06,73,114,36500,5000
203,Internet,151,13,5,38,38,3800,0
204,MPLS_0,82,12,1.87,93,178,55800,3000
204,MPLS_1,70,13,0.49,16,27,9600,4800
204,MPLS_2,82,12,0.61,15,25,12000,4000
204,Internet,157,14,1,61,61,6100,0
205,MPLS_0,76,13,0.72,1,1,700,2800
205,MPLS_2,133,12,1.09,4,7,2800,4200
205,MPLS_1,66,7,0.46,1,1,700,3500
205,Internet,150,15,1,3,3,300,0
206,MPLS_0,84,13,1.89,46,80,23000,4000
206,MPLS_2,74,11,0.61,20,38,10000,4000
206,Internet,150,13,6,29,29,2900,0
207,MPLS_0,68,13,0.4,11,21,6600,3600
207,MPLS_2,97,16,1.27,48,80,28800,3000
207,MPLS_1,71,11,0.74,12,21,6000,4500
207,Internet,156,16,1,52,52,5200,0
208,MPLS_2,114,14,1.74,55,90,44000,6400
208,MPLS_0,72,10,0.49,18,33,14400,5600
208,Internet,180,16,2,35,35,3500,0
209,MPLS_2,66,8,0.55,16,28,11200,2100
209,MPLS_0,127,14,1,43,73,21500,5000
209,Internet,156,17,4,37,37,3700,0
210,MPLS_0,69,11,0.42,132,198,79200,5400
210,Internet,164,18,2,80,80,8000,0
211,MPLS_1,70,7,0.66,10,16,5000,4500
211,MPLS_2,84,15,1.95,22,36,15400,3500
211,Internet,196,13,3,20,20,2000,0
212,MPLS_2,61,7,0.66,76,120,45600,5400
212,MPLS_1,119,13,2.08,226,392,113000,2000
212,Internet,209,13,5,134,134,13400,0
213,MPLS_0,149,14,1.15,32,60,25600,7200
213,MPLS_2,69,7,0.63,13,22,7800,1800
213,Internet,214,18,7,17,17,1700,0
214,MPLS_2,86,7,0.72,19,33,11400,1800
214,MPLS_0,83,8,0.5,17,30,11900,2800
214,MPLS_1,142,16,1.8,72,122,50400,2800
214,Internet,209,19,6,42,42,4200,0
215,MPLS_0,86,15,0.82,89,147,53400,4200
215,MPLS_2,68,7,0.65,34,51,17000,5000
215,Internet,159,14,10,74,74,7400,0
216,MPLS_2,144,15,1.41,35,66,21000,4200
216,MPLS_1,83,10,0.73,15,23,7500,3500
216,Internet,175,20,8,23,23,2300,0
217,MPLS_1,116,14,1.58,32,59,22400,4900
217,MPLS_2,76,8,0.65,7,11,3500,5000
217,MPLS_0,79,9,0.55,7,13,5600,4000
217,Internet,145,17,2,41,41,4100,0
218,MPLS_2,96,14,1.91,53,89,31800,5400
218,MPLS_0,70,7,0.65,9,17,6300,3500
218,MPLS_1,68,11,0.69,12,22,7200,1800
218,Internet,168,12,6,47,47,4700,0
219,MPLS_0,62,11,0.77,41,79,24600,3600
219,MPLS_1,104,12,0.94,111,206,66600,1800
219,Internet,197,16,6,100,100,10000,0
220,MPLS_2,126,13,1.05,6,11,3600,6000
220,MPLS_0,77,11,0.52,6,12,3600,3000
220,MPLS_1,88,11,0.7,3,6,2100,3500
220,Internet,187,12,6,20,20,2000,0
221,MPLS_2,76,11,0.61,43,84,30100,2100
221,Internet,151,19,4,18,18,1800,0
222,MPLS_2,88,13,0.47,14,22,8400,5400
222,MPLS_0,135,15,2.08,28,55,14000,3500
222,Internet,175,12,1,27,27,2700,0
223,MPLS_2,120,14,1.14,24,38,14400,3000
223,MPLS_0,82,11,0.57,12,21,7200,1800
223,Internet,181,18,10,18,18,1800,0
224,MPLS_0,75,11,0.76,9,17,7200,4000
224,MPLS_2,66,8,0.62,11,18,5500,5000
224,MPLS_1,142,13,1.65,48,92,28800,6000
224,Internet,173,16,6,56,56,5600,0
225,MPLS_0,71,13,0.57,15,27,7500,4000
225,MPLS_1,102,12,1.05,38,75,22800,5400
225,Internet,166,12,4,40,40,4000,0
226,MPLS_1,90,16,1.1,15,23,7500,4000
226,MPLS_2,63,11,0.73,6,9,4200,2800
226,Internet,159,13,6,19,19,1900,0
227,MPLS_2,87,12,0.46,25,39,15000,1800
227,MPLS_1,88,16,1.35,123,201,73800,5400
227,MPLS_0,66,12,0.54,21,37,10500,2000
227,Internet,167,14,8,80,80,8000,0
228,MPLS_2,65,9,0.76,4,7,2000,3500
228,MPLS_0,62,10,0.46,4,7,2400,4200
228,MPLS_1,113,15,1.45,20,36,12000,3600
228,Internet,219,19,8,11,11,1100,0
229,MPLS_1,62,8,0.59,3,5,1800,4200
229,MPLS_2,82,13,0.52,3,5,2100,7000
229,MPLS_0,93,14,1.05,12,19,7200,6000
229,Internet,165,19,1,15,15,1500,0
230,MPLS_0,77,9,0.63,7,13,3500,5000
230,MPLS_2,86,15,0.87,40,68,32000,5600
230,MPLS_1,78,12,0.57,6,11,4200,7000
230,Internet,189,15,9,24,24,2400,0
231,MPLS_1,66,9,0.71,14,26,9800,4900
231,MPLS_0,116,13,1.43,50,82,30000,3000
231,Internet,215,18,7,49,49,4900,0
232,MPLS_0,61,12,0.48,12,19,9600,6400
232,MPLS_2,151,13,0.96,42,76,25200,6000
232,Internet,164,14,4,35,35,3500,0
233,MPLS_2,98,12,1.81,19,29,15200,2400
233,MPLS_1,62,11,0.71,8,12,4800,4800
233,Internet,153,18,10,14,14,1400,0
234,MPLS_1,133,15,1.19,83,164,41500,4000
234,MPLS_0,78,7,0.62,38,69,30400,7200
234,Internet,161,12,8,55,55,5500,0
235,MPLS_0,70,9,0.59,10,18,6000,5400
235,MPLS_2,126,14,1.77,27,50,21600,8000
235,Internet,185,16,3,21,21,2100,0
236,MPLS_1,82,10,0.78,44,74,22000,3500
236,MPLS_2,125,15,0.81,97,182,58200,5400
236,Internet,144,20,9,55,55,5500,0
237,MPLS_2,83,10,0.48,13,21,7800,4800
237,MPLS_1,147,13,1.46,36,71,28800,6400
237,Internet,205,12,8,27,27,2700,0
238,MPLS_1,105,16,1.31,57,91,39900,2100
238,MPLS_0,81,13,0.46,8,14,4800,5400
238,MPLS_2,60,12,0.53,9,17,7200,6400
238,Internet,153,17,5,40,40,4000,0
239,MPLS_2,112,13,0.96,11,18,8800,7200
239,MPLS_0,85,11,0.61,3,4,2100,6300
239,MPLS_1,81,13,0.63,2,3,1400,2100
239,Internet,158,15,1,9,9,900,0
240,MPLS_1,139,16,1.62,36,59,21600,4200
240,MPLS_0,77,8,0.67,15,27,9000,1800
240,Internet,149,17,1,31,31,3100,0
241,MPLS_2,87,11,0.52,3,5,2400,4800
241,MPLS_1,79,12,0.73,3,5,1500,1500
241,MPLS_0,96,15,1.49,21,38,12600,3000
241,Internet,220,13,7,13,13,1300,0
242,MPLS_1,88,13,1.2,61,91,30500,3000
242,MPLS_2,87,13,0.73,16,24,8000,2000
242,MPLS_0,78,13,0.59,12,21,8400,4200
242,Internet,141,20,2,45,45,4500,0
243,MPLS_1,78,12,0.61,3,6,1800,3600
243,MPLS_2,86,13,0.89,3,5,1800,4200
243,Internet,184,15,9,6,6,600,0
244,MPLS_0,112,15,2,542,1013,379400,2100
244,MPLS_1,80,10,0.71,109,217,54500,5000
244,MPLS_2,72,9,0.52,88,148,44000,1500
244,Internet,209,16,1,254,254,25400,0
245,MPLS_1,69,7,0.51,12,22,6000,3000
245,MPLS_0,104,12,1.82,33,55,23100,4900
245,Internet,189,17,5,30,30,3000,0
246,MPLS_0,72,11,0.75,23,39,16100,5600
246,Internet,165,12,10,19,19,1900,0
247,MPLS_1,62,12,0.54,21,38,14700,4900
247,MPLS_2,81,12,0.93,52,88,31200,2400
247,Internet,202,16,4,38,38,3800,0
248,MPLS_2,138,14,1.38,72,128,43200,2400
248,MPLS_1,76,7,0.67,17,31,10200,5400
248,MPLS_0,64,11,0.42,15,22,9000,6000
248,Internet,153,17,7,75,75,7500,0
249,MPLS_2,123,13,1.34,255,499,153000,3000
249,MPLS_1,72,12,0.65,88,145,44000,2000
249,Internet,218,14,3,198,198,19800,0
250,MPLS_0,128,13,1.8,23,43,16100,2100
250,MPLS_2,81,12,0.58,14,27,7000,1500
250,Internet,207,20,5,33,33,3300,0
251,MPLS_1,98,15,1.17,48,87,28800,4200
251,MPLS_0,77,7,0.49,9,16,7200,6400
251,MPLS_2,71,9,0.53,9,17,4500,4500
251,Internet,160,12,8,44,44,4400,0
252,MPLS_0,73,7,0.75,10,18,7000,6300
252,MPLS_1,147,13,1.62,26,47,13000,2500
252,Internet,213,17,1,26,26,2600,0
253,MPLS_1,73,10,0.79,47,79,37600,6400
253,MPLS_0,80,10,0.79,42,66,21000,2000
253,MPLS_2,139,16,1.72,172,269,120400,2100
253,Internet,190,13,3,160,160,16000,0
254,MPLS_2,79,7,0.47,12,18,7200,4200
254,MPLS_1,90,14,0.88,38,69,22800,4200
254,Internet,174,19,9,32,32,3200,0
255,MPLS_2,66,13,0.56,125,241,62500,1500
255,Internet,191,12,7,72,72,7200,0
256,MPLS_1,135,12,1.23,60,105,48000,3200
256,MPLS_2,89,11,0.74,26,48,20800,4000
256,Internet,145,13,7,40,40,4000,0
257,MPLS_0,116,13,1.26,68,119,54400,4000
257,MPLS_2,74,10,0.6,28,55,16800,6000
257,Internet,212,18,8,38,38,3800,0
258,MPLS_0,60,13,0.62,15,23,9000,2400
258,MPLS_2,80,7,0.52,11,18,8800,8000
258,MPLS_1,150,16,1.92,66,107,46200,4900
258,Internet,210,12,7,36,36,3600,0
259,MPLS_2,78,9,0.42,6,11,3000,2000
259,MPLS_1,91,16,2.04,10,19,5000,1500
259,Internet,188,15,4,10,10,1000,0
260,MPLS_2,86,10,0.48,28,51,22400,2400
260,Internet,218,16,8,24,24,2400,0
261,MPLS_1,64,13,0.73,9,13,5400,6000
261,MPLS_2,134,16,1.31,27,50,18900,2100
261,Internet,178,15,5,19,19,1900,0
262,MPLS_1,77,7,0.42,44,85,35200,5600
262,MPLS_0,124,15,0.88,127,218,88900,4200
262,Internet,160,14,4,117,117,11700,0
263,MPLS_2,61,11,0.75,6,11,4200,3500
263,MPLS_1,85,16,1.03,13,22,10400,6400
263,Internet,142,20,7,9,9,900,0
264,MPLS_2,60,12,0.57,66,101,46200,4900
264,MPLS_0,98,16,1.49,178,341,124600,4900
264,Internet,194,17,6,93,93,9300,0
265,MPLS_1,72,10,0.52,16,26,9600,5400
265,MPLS_2,66,8,0.61,21,34,16800,5600
265,MPLS_0,111,12,1.94,75,147,52500,6300
265,Internet,207,18,3,82,82,8200,0
266,MPLS_2,79,10,0.45,18,33,12600,2100
266,MPLS_0,140,13,1.1,46,80,23000,4500
266,Internet,207,19,2,50,50,5000,0
267,MPLS_0,136,15,1.92,31,52,15500,3500
267,MPLS_2,71,12,0.65,10,16,5000,5000
267,Internet,155,17,1,20,20,2000,0
268,MPLS_2,87,13,0.77,4,7,3200,3200
268,MPLS_0,142,14,1.88,17,31,10200,2400
268,Internet,208,15,6,17,17,1700,0
269,MPLS_1,76,12,0.54,126,215,100800,3200
269,Internet,172,16,2,66,66,6600,0
270,MPLS_1,84,12,1.91,121,209,72600,2400
270,MPLS_2,75,13,0.7,55,98,33000,6000
270,Internet,187,14,9,126,126,12600,0
271,MPLS_1,77,12,0.78,14,25,11200,2400
271,MPLS_0,127,16,1.06,61,116,42700,2800
271,MPLS_2,71,9,0.62,9,14,6300,4200
271,Internet,186,16,2,63,63,6300,0
272,MPLS_2,65,10,0.55,31,51,21700,4900
272,MPLS_1,106,13,1.36,90,151,63000,7000
272,Internet,156,18,5,103,103,10300,0
273,MPLS_0,78,8,0.53,37,58,22200,3000
273,MPLS_1,88,12,0.48,36,69,18000,3500
273,MPLS_2,126,12,0.93,226,403,135600,6000
273,Internet,176,18,4,189,189,18900,0
274,MPLS_2,61,12,0.5,59,102,47200,4800
274,Internet,189,17,8,38,38,3800,0
275,MPLS_1,71,12,0.7,43,78,34400,7200
275,MPLS_0,117,15,0.89,118,184,70800,4200
275,Internet,201,15,5,85,85,8500,0
276,MPLS_2,87,9,0.76,36,65,21600,4200
276,MPLS_0,66,7,0.45,38,67,22800,1800
276,MPLS_1,108,12,1.37,153,293,91800,4800
276,Internet,174,12,7,145,145,14500,0
277,MPLS_1,68,11,0.46,38,68,30400,4000
277,MPLS_0,128,14,1.04,79,157,63200,7200
277,Internet,195,17,5,56,56,5600,0
278,MPLS_2,150,13,1.75,13,25,7800,1800
278,MPLS_1,77,12,0.73,4,6,3200,7200
278,Internet,160,14,7,13,13,1300,0
279,MPLS_1,97,16,1.02,57,111,39900,4900
279,MPLS_0,73,11,0.79,9,15,6300,7000
279,MPLS_2,73,13,0.4,9,15,5400,3000
279,Internet,144,18,3,38,38,3800,0
280,MPLS_0,89,8,0.49,100,158,60000,3000
280,MPLS_1,107,15,1.19,417,720,208500,2500
280,MPLS_2,67,11,0.56,88,165,61600,4200
280,Internet,158,16,9,273,273,27300,0
281,MPLS_0,140,15,1.79,13,20,10400,8000
281,MPLS_1,60,9,0.77,5,9,2500,2000
281,Internet,200,20,9,13,13,1300,0
282,MPLS_0,88,8,0.59,64,99,44800,2800
282,MPLS_2,112,12,0.83,284,562,170400,4200
282,MPLS_1,75,7,0.76,51,79,40800,7200
282,Internet,187,18,1,242,242,24200,0
283,MPLS_1,69,12,0.73,40,72,32000,5600
283,MPLS_0,103,13,1.74,75,125,37500,3000
283,Internet,214,20,3,65,65,6500,0
284,MPLS_2,85,15,1.19,18,33,9000,5000
284,MPLS_0,81,9,0.65,10,17,6000,3000
284,Internet,196,18,5,23,23,2300,0
285,MPLS_0,63,10,0.48,7,11,4900,2800
285,MPLS_2,98,14,1.92,26,46,13000,3500
285,Internet,145,16,1,24,24,2400,0
286,MPLS_1,74,10,0.56,3,5,2100,5600
286,MPLS_0,85,11,0.72,5,9,3000,1800
286,MPLS_2,95,16,1.42,26,44,13000,3000
286,Internet,171,12,2,24,24,2400,0
287,MPLS_0,63,9,0.75,3,4,1800,4200
287,MPLS_2,141,16,1.85,7,12,5600,2400
287,Internet,208,16,3,5,5,500,0
288,MPLS_0,124,15,1.47,71,131,35500,1500
288,MPLS_2,60,13,0.72,40,67,32000,6400
288,Internet,157,18,6,47,47,4700,0
289,MPLS_2,109,13,0.99,7,10,5600,4800
289,MPLS_0,89,11,0.4,4,7,2000,2500
289,Internet,141,19,10,5,5,500,0
290,MPLS_0,132,13,1.38,55,96,44000,4000
290,MPLS_2,71,7,0.44,10,17,7000,2100
290,MPLS_1,80,13,0.43,9,17,4500,3500
290,Internet,195,19,3,47,47,4700,0
291,MPLS_1,79,8,0.77,127,200,76200,3000
291,MPLS_2,147,14,0.82,221,333,110500,4500
291,Internet,151,16,5,147,147,14700,0
292,MPLS_1,116,15,1.59,221,336,154700,7000
292,MPLS_2,82,10,0.61,88,138,70400,7200
292,Internet,216,20,3,194,194,19400,0
293,MPLS_1,95,15,1.13,139,213,97300,7000
293,MPLS_0,70,11,0.69,48,81,28800,3600
293,Internet,188,19,6,89,89,8900,0
294,MPLS_0,89,13,0.4,71,139,35500,4000
294,MPLS_1,143,15,1.38,208,396,104000,3500
294,Internet,214,19,6,163,163,16300,0
295,MPLS_0,63,8,0.47,10,16,6000,2400
295,MPLS_1,93,15,1.3,43,75,34400,4800
295,MPLS_2,62,9,0.78,13,21,7800,1800
295,Internet,179,18,10,37,37,3700,0
296,MPLS_2,67,8,0.49,17,32,13600,4000
296,MPLS_0,74,13,0.65,20,32,14000,7000
296,MPLS_1,145,15,1.44,84,154,50400,6000
296,Internet,187,13,7,86,86,8600,0
297,MPLS_0,81,12,0.77,5,8,2500,3000
297,MPLS_1,146,13,1.71,12,18,6000,3500
297,Internet,189,19,3,8,8,800,0
298,MPLS_0,122,15,1.85,91,157,63700,4200
298,MPLS_1,79,9,0.61,41,74,24600,6000
298,Internet,168,15,7,61,61,6100,0
299,MPLS_1,68,9,0.75,6,9,4800,3200
299,MPLS_2,124,15,1.25,28,49,14000,1500
299,MPLS_0,84,9,0.53,7,13,4200,1800
299,Internet,157,14,9,21,21,2100,0
300,MPLS_0,80,13,0.49,75,144,45000,1800
300,MPLS_2,146,16,1.27,238,451,142800,3000
300,Internet,197,19,9,124,124,12400,0
301,MPLS_1,85,14,1.43,31,53,15500,2000
301,MPLS_2,77,7,0.41,5,9,4000,3200
301,MPLS_0,82,9,0.68,6,9,4800,6400
301,Internet,155,20,8,23,23,2300,0
302,MPLS_2,85,13,0.46,21,33,14700,4200
302,MPLS_1,135,13,1.31,42,79,29400,2800
302,Internet,180,16,1,41,41,4100,0
303,MPLS_0,147,15,1.7,16,31,12800,8000
303,MPLS_2,73,11,0.61,4,7,2800,2800
303,MPLS_1,80,12,0.78,3,4,2100,4900
303,Internet,152,18,9,10,10,1000,0
304,MPLS_2,66,12,0.45,87,130,69600,4800
304,MPLS_1,110,14,1.7,253,404,126500,4000
304,Internet,199,12,2,133,133,13300,0
305,MPLS_1,74,10,0.5,13,24,10400,3200
305,MPLS_0,78,13,0.67,14,24,7000,5000
305,MPLS_2,139,15,2.08,66,130,33000,4500
305,Internet,215,13,5,46,46,4600,0
306,MPLS_0,69,10,0.43,6,10,3000,1500
306,MPLS_1,104,13,1.11,23,44,16100,4900
306,Internet,163,15,10,11,11,1100,0
307,MPLS_0,80,9,0.49,37,67,29600,2400
307,MPLS_2,140,13,0.91,158,239,126400,4000
307,MPLS_1,77,13,0.52,37,66,22200,1800
307,Internet,165,20,7,123,123,12300,0
308,MPLS_2,65,10,0.49,150,245,75000,2500
308,MPLS_1,114,13,1.01,385,699,192500,4000
308,Internet,216,16,6,386,386,38600,0
309,MPLS_0,67,8,0.48,16,26,12800,5600
309,MPLS_1,120,16,0.84,27,50,18900,5600
309,Internet,157,19,9,25,25,2500,0
310,MPLS_2,65,8,0.44,8,13,4000,3500
310,MPLS_1,69,11,0.75,10,15,8000,3200
310,MPLS_0,139,14,1,41,78,28700,2100
310,Internet,143,14,3,29,29,2900,0
311,MPLS_1,78,12,0.49,55,92,38500,6300
311,Internet,186,13,6,20,20,2000,0
312,MPLS_1,65,7,0.42,2,3,1000,2000
312,MPLS_2,150,12,1.32,6,9,4800,7200
312,Internet,167,16,1,3,3,300,0
313,MPLS_0,83,8,0.74,7,11,5600,8000
313,MPLS_2,126,16,1.35,16,30,12800,4800
313,Internet,161,18,4,10,10,1000,0
314,MPLS_1,79,10,0.5,9,14,5400,5400
314,MPLS_2,122,16,1.52,21,39,12600,3600
314,Internet,203,14,3,13,13,1300,0
315,MPLS_2,82,9,0.78,13,20,6500,3000
315,MPLS_0,103,16,0.83,83,144,66400,6400
315,MPLS_1,61,9,0.41,18,34,10800,3000
315,Internet,179,12,10,72,72,7200,0
316,MPLS_0,68,13,0.55,34,62,20400,6000
316,Internet,142,17,9,24,24,2400,0
317,MPLS_2,63,12,0.49,3,4,1500,1500
317,MPLS_0,96,12,1.13,8,14,4800,4800
317,Internet,163,16,7,11,11,1100,0
318,MPLS_2,88,13,0.54,221,333,110500,1500
318,Internet,207,19,1,115,115,11500,0
319,MPLS_2,113,12,1.63,75,117,37500,5000
319,MPLS_0,68,7,0.58,14,21,8400,1800
319,MPLS_1,72,10,0.51,17,33,8500,3000
319,Internet,219,17,5,86,86,8600,0
320,MPLS_0,136,13,0.82,23,42,18400,8000
320,MPLS_2,85,10,0.6,9,15,4500,4500
320,Internet,213,16,10,19,19,1900,0
321,MPLS_2,69,8,0.47,14,24,11200,2400
321,MPLS_0,115,14,1.21,38,61,30400,8000
321,Internet,185,17,8,35,35,3500,0
322,MPLS_2,83,10,0.62,36,70,25200,2100
322,MPLS_0,93,13,1.07,69,121,41400,6000
322,Internet,162,12,8,82,82,8200,0
323,MPLS_1,86,9,0.43,4,7,2000,4500
323,MPLS_0,74,9,0.72,4,7,3200,4800
323,MPLS_2,140,15,2.06,21,31,10500,2500
323,Internet,144,15,6,19,19,1900,0
324,MPLS_0,74,9,0.62,107,197,53500,4000
324,Internet,216,19,1,67,67,6700,0
325,MPLS_1,93,16,1.1,198,361,158400,3200
325,MPLS_0,83,13,0.43,83,126,58100,4900
325,Internet,142,18,1,147,147,14700,0
326,MPLS_0,94,13,2.06,35,67,17500,2000
326,MPLS_2,89,13,0.64,11,18,6600,3600
326,Internet,142,12,7,31,31,3100,0
327,MPLS_0,66,11,0.66,64,100,51200,4000
327,MPLS_2,74,12,0.42,74,135,59200,4800
327,MPLS_1,126,16,1.63,312,489,187200,4800
327,Internet,142,13,9,237,237,23700,0
328,MPLS_1,91,15,1.37,21,38,14700,4200
328,MPLS_2,76,12,0.49,6,9,4200,7000
328,Internet,172,16,9,13,13,1300,0
329,MPLS_0,89,11,0.45,43,70,25800,2400
329,Internet,191,15,3,31,31,3100,0
330,MPLS_0,70,13,0.53,12,19,6000,3500
330,Internet,178,20,3,5,5,500,0
331,MPLS_1,88,7,0.79,3,4,1500,5000
331,MPLS_2,104,15,1.28,9,16,6300,7000
331,Internet,211,16,8,6,6,600,0
332,MPLS_1,94,15,0.9,19,36,15200,4000
332,MPLS_2,65,10,0.55,7,13,4900,2800
332,Internet,209,19,9,18,18,1800,0
333,MPLS_1,125,14,1.71,30,46,18000,1800
333,MPLS_2,88,9,0.65,8,13,6400,5600
333,Internet,164,17,3,31,31,3100,0
334,MPLS_2,68,9,0.48,7,11,4200,6000
334,MPLS_0,78,9,0.59,7,11,4900,2800
334,MPLS_1,105,14,0.97,36,59,21600,4800
334,Internet,173,20,8,48,48,4800,0
335,MPLS_2,83,7,0.46,5,9,3000,2400
335,MPLS_0,117,14,1.32,23,37,13800,5400
335,MPLS_1,72,10,0.65,5,8,4000,4800
335,Internet,213,20,9,24,24,2400,0
336,MPLS_0,143,16,1.65,37,70,18500,4500
336,MPLS_2,88,13,0.4,18,29,14400,2400
336,Internet,163,17,4,39,39,3900,0
337,MPLS_2,90,15,1.98,25,44,12500,4000
337,MPLS_0,87,10,0.45,11,19,8800,8000
337,Internet,215,19,7,20,20,2000,0
338,MPLS_0,85,8,0.51,8,12,4800,4200
338,MPLS_2,134,16,0.98,42,67,21000,2000
338,MPLS_1,76,10,0.52,8,15,4000,5000
338,Internet,161,18,10,34,34,3400,0
339,MPLS_2,80,11,0.56,8,12,5600,6300
339,MPLS_0,82,15,1.87,16,27,12800,4800
339,Internet,156,17,8,16,16,1600,0
340,MPLS_1,70,12,0.68,92,160,46000,2000
340,Internet,201,17,10,57,57,5700,0
341,MPLS_2,122,12,1.33,9,15,7200,5600
341,MPLS_0,62,9,0.79,3,5,2400,3200
341,Internet,200,16,9,7,7,700,0
342,MPLS_1,88,15,1.55,43,72,25800,3000
342,MPLS_0,87,12,0.41,7,10,4200,5400
342,MPLS_2,76,8,0.58,8,15,4800,3600
342,Internet,144,15,4,33,33,3300,0
343,MPLS_2,79,7,0.6,66,128,52800,4000
343,Internet,141,12,2,45,45,4500,0
344,MPLS_2,83,8,0.5,2,3,1200,1800
344,MPLS_0,128,12,0.83,16,26,11200,6300
344,MPLS_1,70,9,0.63,2,3,1400,3500
344,Internet,215,20,6,8,8,800,0
345,MPLS_2,68,9,0.54,14,21,11200,3200
345,MPLS_1,111,14,1.05,56,96,44800,2400
345,Internet,184,19,1,45,45,4500,0
346,MPLS_2,71,8,0.74,16,29,8000,2000
346,MPLS_1,125,12,2.04,52,100,41600,4000
346,Internet,181,12,1,26,26,2600,0
