site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
171,Internet,160,13,10,6,6,600,0
172,MPLS_1,68,8,0.61,11,18,8800,6400
172,MPLS_2,144,13,1.88,64,98,51200,4800
172,MPLS_0,65,8,0.78,10,16,8000,4800
172,Internet,187,18,3,36,36,3600,0
173,MPLS_1,69,13,0.44,8,15,6400,8000
173,MPLS_2,109,13,1.86,14,22,9800,2100
173,Internet,218,18,1,16,16,1600,0
174,MPLS_0,95,13,1.25,14,21,11200,6400
174,MPLS_1,70,11,0.62,4,6,2400,2400
174,Internet,157,19,1,14,14,1400,0
175,MPLS_2,96,16,0.92,8,12,6400,3200
175,MPLS_0,85,7,0.48,1,1,500,2000
175,MPLS_1,85,12,0.4,1,1,500,4000
175,Internet,169,12,3,10,10,1000,0
176,MPLS_1,77,7,0.59,9,16,5400,4200
176,MPLS_2,130,15,1.21,24,43,19200,4000
176,Internet,145,19,7,15,15,1500,0
177,MPLS_1,80,14,0.95,66,124,52800,7200
177,MPLS_0,88,9,0.7,22,33,13200,1800
177,Internet,210,20,7,58,58,5800,0
178,MPLS_1,61,9,0.63,9,17,4500,4500
178,MPLS_2,136,12,1.52,21,33,12600,6000
178,Internet,146,15,4,12,12,1200,0
179,MPLS_0,81,9,0.76,3,5,1800,3600
179,MPLS_2,128,12,1.45,17,28,11900,4900
179,MPLS_1,65,8,0.64,3,5,2100,7000
179,Internet,147,20,7,10,10,1000,0
180,MPLS_1,118,15,1.09,513,859,256500,5000
180,MPLS_2,64,13,0.49,200,355,100000,3500
180,Internet,152,14,4,497,497,49700,0
181,MPLS_1,71,11,0.7,24,36,19200,7200
181,MPLS_2,121,15,1.03,79,134,39500,4000
181,Internet,161,12,3,69,69,6900,0
182,MPLS_2,61,10,0.52,45,80,27000,4200
182,MPLS_1,74,7,0.59,44,71,30800,5600
182,MPLS_0,143,14,1.64,325,631,260000,5600
182,Internet,163,12,10,221,221,22100,0
183,MPLS_1,72,12,0.58,19,28,9500,3000
183,MPLS_2,130,14,0.89,43,65,34400,4000
183,Internet,171,18,10,42,42,4200,0
184,MPLS_2,91,12,1.17,8,15,5600,4900
184,MPLS_0,78,13,0.46,3,5,2100,7000
184,Internet,140,14,10,4,4,400,0
185,MPLS_1,85,14,1.37,87,143,69600,8000
185,MPLS_2,84,7,0.78,33,62,16500,3000
185,Internet,196,14,1,76,76,7600,0
186,MPLS_0,60,9,0.63,26,44,15600,3600
186,MPLS_2,106,13,1.39,54,96,43200,5600
186,Internet,206,17,8,31,31,3100,0
187,MPLS_0,132,12,1.76,40,79,20000,4000
187,MPLS_1,63,13,0.41,15,27,9000,4200
187,Internet,178,16,10,36,36,3600,0
188,MPLS_1,149,14,1.22,8,15,4000,2000
188,MPLS_2,64,9,0.52,3,5,1500,4000
188,Internet,214,13,6,5,5,500,0
189,MPLS_2,133,14,0.92,397,743,198500,4000
189,MPLS_1,63,11,0.61,163,309,97800,6000
189,Internet,196,12,8,330,330,33000,0
190,MPLS_0,74,13,0.45,20,32,12000,3600
190,MPLS_2,142,13,1.63,60,98,48000,7200
190,Internet,203,15,10,40,40,4000,0
191,MPLS_1,76,13,0.66,7,11,4900,6300
191,MPLS_0,148,16,1.29,13,21,6500,4500
191,Internet,213,14,8,15,15,1500,0
192,MPLS_1,106,16,1.22,20,36,14000,5600
192,MPLS_2,87,11,0.44,10,18,5000,2000
192,Internet,181,14,4,24,24,2400,0
193,MPLS_0,115,15,0.92,291,444,174600,4200
193,MPLS_1,79,9,0.41,56,102,28000,2000
193,MPLS_2,67,12,0.58,43,75,25800,4200
193,Internet,152,18,3,255,255,25500,0
194,MPLS_2,88,8,0.58,39,60,23400,3000
194,MPLS_1,100,13,1.43,164,298,114800,6300
194,MPLS_0,73,11,0.45,31,47,24800,7200
194,Internet,173,19,7,196,196,19600,0
195,MPLS_1,80,7,0.57,5,9,3500,4900
195,MPLS_0,104,14,1.69,27,41,13500,4500
195,MPLS_2,71,11,0.79,6,11,3000,5000
195,Internet,176,15,9,27,27,2700,0
196,MPLS_0,73,9,0.46,13,25,7800,6000
196,MPLS_1,131,16,1.93,62,118,31000,5000
196,MPLS_2,79,9,0.65,10,16,6000,1800
196,Internet,169,18,8,54,54,5400,0
197,MPLS_1,122,16,1.28,5,7,3500,2100
197,MPLS_0,62,10,0.63,1,1,700,5600
197,Internet,147,16,9,3,3,300,0
198,MPLS_1,65,10,0.42,5,8,3000,4800
198,MPLS_2,107,13,1.07,29,46,23200,2400
198,MPLS_0,84,9,0.79,5,7,4000,8000
198,Internet,218,20,4,15,15,1500,0
199,MPLS_2,70,13,0.71,19,28,15200,8000
199,MPLS_0,97,12,1.44,35,52,24500,3500
199,Internet,193,12,3,22,22,2200,0
200,MPLS_2,110,16,1.86,38,73,19000,5000
200,MPLS_0,83,8,0.68,13,24,6500,5000
200,Internet,207,20,8,27,27,2700,0
201,MPLS_0,81,12,0.75,4,7,2400,6000
201,MPLS_2,101,16,1.62,12,21,6000,1500
201,Internet,186,13,10,11,11,1100,0
202,MPLS_0,77,13,0.48,1,1,700,2100
202,MPLS_2,76,13,0.78,1,1,700,2800
202,MPLS_1,94,12,1.41,8,12,4800,2400
202,Internet,147,12,4,5,5,500,0
203,MPLS_1,88,9,0.44,14,27,9800,4200
203,MPLS_2,144,14,1.09,65,125,45500,5600
203,MPLS_0,66,8,0.56,14,25,8400,1800
203,Internet,171,20,7,69,69,6900,0
204,MPLS_1,105,12,1.93,85,143,59500,4900
204,MPLS_2,61,9,0.68,37,57,22200,4800
204,Internet,164,17,8,71,71,7100,0
205,MPLS_2,107,15,1.18,5,9,3500,5600
205,MPLS_0,78,8,0.45,1,1,600,4800
205,Internet,179,13,9,4,4,400,0
206,MPLS_1,69,11,0.58,20,35,12000,4200
206,MPLS_2,124,12,1.27,40,63,28000,4900
206,Internet,210,16,1,45,45,4500,0
207,MPLS_2,84,14,1.6,59,93,41300,5600
207,MPLS_0,81,9,0.73,15,26,9000,5400
207,Internet,166,15,1,52,52,5200,0
208,MPLS_0,68,8,0.54,11,17,6600,1800
208,MPLS_1,91,13,1.14,43,69,21500,5000
208,MPLS_2,76,12,0.66,11,17,5500,5000
208,Internet,147,13,4,51,51,5100,0
209,MPLS_0,101,15,0.92,45,86,22500,1500
209,MPLS_1,79,13,0.76,10,17,8000,7200
209,MPLS_2,65,7,0.68,10,16,5000,3500
209,Internet,143,17,7,25,25,2500,0
210,MPLS_0,78,13,0.5,142,259,113600,6400
210,Internet,145,16,7,64,64,6400,0
211,MPLS_1,75,12,0.54,5,9,4000,4000
211,MPLS_0,76,7,0.55,6,10,3000,1500
211,MPLS_2,150,16,0.98,27,52,21600,2400
211,Internet,207,16,5,19,19,1900,0
212,MPLS_2,110,14,1.77,159,241,95400,5400
212,MPLS_1,87,10,0.48,77,151,61600,5600
212,Internet,179,17,7,204,204,20400,0
213,MPLS_0,79,8,0.46,33,56,19800,3000
213,Internet,184,18,7,22,22,2200,0
214,MPLS_2,63,9,0.5,16,27,11200,7000
214,MPLS_1,68,9,0.75,13,21,9100,6300
214,MPLS_0,98,16,1.82,87,131,52200,2400
214,Internet,188,16,5,59,59,5900,0
215,MPLS_0,104,12,1.59,63,113,37800,6000
215,MPLS_2,83,13,0.58,25,42,15000,3000
215,Internet,182,12,8,46,46,4600,0
216,MPLS_1,62,8,0.77,12,22,6000,3500
216,MPLS_0,115,14,1.29,48,74,24000,5000
216,Internet,169,19,5,28,28,2800,0
217,MPLS_2,135,14,2.06,38,63,26600,4200
217,MPLS_1,70,8,0.47,14,27,7000,2500
217,Internet,151,19,5,38,38,3800,0
218,MPLS_0,81,10,0.54,25,49,20000,6400
218,MPLS_1,82,14,1.65,60,111,48000,4000
218,Internet,206,17,8,49,49,4900,0
219,MPLS_1,106,12,1.57,107,171,85600,6400
219,MPLS_2,69,7,0.48,38,62,22800,3600
219,Internet,174,12,3,77,77,7700,0
220,MPLS_1,88,8,0.59,10,19,7000,3500
220,Internet,141,12,7,5,5,500,0
221,MPLS_0,138,12,1.33,31,59,24800,8000
221,MPLS_2,68,10,0.61,14,22,11200,2400
221,Internet,216,19,6,29,29,2900,0
222,MPLS_0,86,13,1.63,30,53,15000,4500
222,MPLS_1,77,8,0.44,10,17,7000,6300
222,Internet,216,17,3,27,27,2700,0
223,MPLS_2,71,10,0.53,5,9,3500,2100
223,MPLS_0,99,13,0.84,26,51,20800,6400
223,MPLS_1,83,10,0.51,5,7,3000,6000
223,Internet,144,17,2,15,15,1500,0
224,MPLS_1,140,15,1.3,54,98,27000,1500
224,MPLS_2,68,11,0.57,13,25,9100,7000
224,MPLS_0,64,8,0.63,10,16,8000,8000
224,Internet,152,18,9,54,54,5400,0
225,MPLS_2,86,10,0.65,16,30,9600,4800
225,MPLS_1,105,14,2.03,35,65,24500,6300
225,Internet,160,14,9,21,21,2100,0
226,MPLS_2,139,15,1.77,14,24,8400,3600
226,MPLS_0,72,11,0.45,3,5,1800,1800
226,MPLS_1,78,10,0.65,3,5,1500,5000
226,Internet,142,12,1,12,12,1200,0
227,MPLS_0,147,14,1.54,83,134,41500,4500
227,MPLS_2,85,10,0.46,20,32,16000,3200
227,MPLS_1,60,13,0.72,18,30,10800,1800
227,Internet,197,19,7,66,66,6600,0
228,MPLS_1,80,16,1.72,18,27,9000,5000
228,MPLS_0,74,11,0.67,7,13,4900,5600
228,Internet,166,16,1,15,15,1500,0
229,MPLS_0,60,13,0.73,3,5,2400,3200
229,MPLS_2,71,9,0.42,2,3,1600,3200
229,MPLS_1,125,15,1.9,11,18,8800,6400
229,Internet,214,18,3,7,7,700,0
230,MPLS_0,96,15,1.09,41,67,28700,5600
230,MPLS_1,86,8,0.51,5,8,3500,2100
230,MPLS_2,86,11,0.48,6,10,4200,4200
230,Internet,204,15,10,27,27,2700,0
231,MPLS_1,80,11,0.56,15,27,9000,5400
231,MPLS_2,147,12,1.02,43,85,21500,5000
231,Internet,190,16,7,38,38,3800,0
232,MPLS_0,81,13,0.47,43,74,21500,3000
232,Internet,159,14,2,36,36,3600,0
233,MPLS_0,108,13,1.02,26,47,13000,4500
233,MPLS_2,69,11,0.71,10,16,5000,2500
233,Internet,166,20,8,14,14,1400,0
234,MPLS_2,83,10,0.55,42,82,25200,3600
234,MPLS_0,120,15,1.43,75,129,52500,4200
234,Internet,220,15,8,81,81,8100,0
235,MPLS_0,70,13,0.5,4,7,3200,4800
235,MPLS_2,84,14,1.1,26,39,13000,4500
235,MPLS_1,87,12,0.62,4,7,2000,4000
235,Internet,212,14,1,18,18,1800,0
236,MPLS_0,73,12,0.47,125,238,100000,8000
236,Internet,171,17,5,90,90,9000,0
237,MPLS_2,68,7,0.61,12,19,6000,5000
237,MPLS_1,132,13,2.06,26,46,18200,4900
237,Internet,205,12,2,29,29,2900,0
238,MPLS_0,66,13,0.55,11,21,7700,7000
238,MPLS_2,61,7,0.66,14,26,9800,2100
238,MPLS_1,129,12,2,57,92,28500,2500
238,Internet,218,13,10,47,47,4700,0
239,MPLS_0,133,15,1.53,11,21,8800,3200
239,MPLS_2,77,11,0.72,5,7,2500,2000
239,Internet,192,15,2,12,12,1200,0
240,MPLS_2,76,12,0.53,52,96,31200,4200
240,Internet,142,13,8,18,18,1800,0
241,MPLS_2,129,12,1.67,18,27,9000,4500
241,MPLS_0,75,13,0.63,7,13,5600,8000
241,Internet,169,14,4,19,19,1900,0
242,MPLS_1,136,13,1.24,79,119,39500,4500
242,MPLS_2,62,8,0.64,28,55,16800,3600
242,Internet,171,12,5,66,66,6600,0
243,MPLS_1,150,12,0.91,4,7,2400,5400
243,MPLS_2,85,7,0.4,1,1,500,3000
243,Internet,192,14,7,3,3,300,0
244,MPLS_0,62,13,0.65,207,400,165600,8000
244,MPLS_2,117,13,1.59,415,674,332000,6400
244,Internet,175,20,8,421,421,42100,0
245,MPLS_2,103,13,1.08,31,51,21700,7000
245,MPLS_0,86,12,0.45,12,18,7200,6000
245,Internet,160,14,8,25,25,2500,0
246,MPLS_2,66,13,0.61,7,12,5600,6400
246,MPLS_1,136,15,0.8,17,27,10200,4800
246,Internet,141,16,1,16,16,1600,0
247,MPLS_2,62,8,0.65,17,27,10200,2400
247,MPLS_1,88,14,2.06,44,71,30800,6300
247,Internet,183,17,5,36,36,3600,0
248,MPLS_1,86,13,0.44,14,27,8400,2400
248,MPLS_0,62,10,0.45,14,23,11200,4800
248,MPLS_2,127,13,1.42,83,157,66400,4000
248,Internet,179,14,10,54,54,5400,0
249,MPLS_0,79,12,0.72,43,65,21500,2500
249,MPLS_2,127,15,1.89,266,427,186200,2100
249,MPLS_1,87,11,0.52,45,86,31500,4900
249,Internet,184,15,3,215,215,21500,0
250,MPLS_1,140,14,2.08,27,46,18900,4200
250,MPLS_0,64,13,0.5,5,9,2500,4500
250,MPLS_2,85,7,0.77,6,10,3000,3000
250,Internet,212,12,1,31,31,3100,0
251,MPLS_1,129,16,0.84,39,67,31200,2400
251,MPLS_0,78,9,0.45,17,28,8500,2000
251,Internet,141,12,2,30,30,3000,0
252,MPLS_2,118,13,1.43,34,55,23800,4200
252,MPLS_0,61,7,0.77,14,22,11200,2400
252,Internet,161,16,6,30,30,3000,0
253,MPLS_0,119,14,1.48,206,338,144200,5600
253,MPLS_2,72,10,0.53,97,187,48500,2000
253,Internet,182,15,10,172,172,17200,0
254,MPLS_0,139,12,1.04,31,58,18600,3600
254,MPLS_1,75,13,0.78,13,19,10400,5600
254,Internet,176,13,10,21,21,2100,0
255,MPLS_2,77,7,0.56,16,27,11200,2800
255,MPLS_1,132,13,1.08,62,119,49600,5600
255,MPLS_0,66,13,0.69,14,21,9800,6300
255,Internet,190,14,5,52,52,5200,0
256,MPLS_1,88,12,0.77,12,22,7200,5400
256,MPLS_0,90,16,1.79,70,127,56000,3200
256,MPLS_2,75,9,0.77,11,17,5500,2000
256,Internet,216,19,3,64,64,6400,0
257,MPLS_2,148,12,2.09,68,122,47600,3500
257,MPLS_0,64,11,0.46,9,17,7200,5600
257,MPLS_1,86,8,0.72,13,24,6500,4500
257,Internet,177,14,7,38,38,3800,0
258,MPLS_2,118,12,1.82,63,104,50400,3200
258,MPLS_1,61,9,0.7,23,39,16100,7000
258,Internet,190,17,8,71,71,7100,0
259,MPLS_2,68,12,0.78,13,22,7800,1800
259,Internet,160,14,2,7,7,700,0
260,MPLS_1,64,7,0.51,6,10,4200,2800
260,MPLS_0,130,16,1.91,29,57,20300,4900
260,MPLS_2,78,9,0.54,7,13,3500,4000
260,Internet,149,20,3,26,26,2600,0
261,MPLS_2,81,15,1.15,34,53,27200,8000
261,MPLS_1,74,12,0.64,11,18,8800,2400
261,Internet,164,12,2,27,27,2700,0
262,MPLS_0,85,12,0.63,54,104,37800,6300
262,MPLS_2,122,15,1.35,124,237,62000,2500
262,Internet,174,14,5,104,104,10400,0
263,MPLS_2,90,16,1.97,16,25,11200,3500
263,MPLS_0,88,8,0.65,4,6,2400,6000
263,Internet,214,13,1,11,11,1100,0
264,MPLS_0,87,13,1.75,159,263,79500,2500
264,MPLS_1,87,10,0.6,71,112,56800,7200
264,Internet,193,15,2,112,112,11200,0
265,MPLS_0,147,14,2.03,94,142,56400,6000
265,MPLS_2,73,8,0.69,36,68,25200,4200
265,Internet,190,16,7,51,51,5100,0
266,MPLS_2,85,7,0.47,21,35,10500,5000
266,MPLS_0,109,12,0.85,45,71,31500,4200
266,Internet,180,20,7,43,43,4300,0
267,MPLS_0,112,12,1.34,24,45,19200,7200
267,MPLS_1,63,10,0.45,13,24,10400,5600
267,Internet,164,13,2,17,17,1700,0
268,MPLS_1,97,15,1.59,17,30,10200,3600
268,MPLS_0,69,12,0.75,4,7,2400,6000
268,Internet,171,15,10,10,10,1000,0
269,MPLS_1,93,12,0.94,98,154,78400,5600
269,MPLS_2,88,8,0.49,19,35,9500,5000
269,MPLS_0,79,8,0.67,21,35,10500,5000
269,Internet,207,20,4,72,72,7200,0
270,MPLS_2,80,10,0.46,41,65,32800,4800
270,MPLS_0,106,16,1.89,133,206,93100,3500
270,Internet,219,18,10,117,117,11700,0
271,MPLS_0,69,7,0.59,20,30,12000,4200
271,MPLS_1,120,15,1.37,59,95,29500,4000
271,Internet,187,18,2,57,57,5700,0
272,MPLS_2,87,14,1.11,114,195,79800,4200
272,MPLS_0,60,9,0.67,34,64,17000,1500
272,Internet,220,15,10,91,91,9100,0
273,MPLS_1,78,11,0.71,71,126,56800,5600
273,MPLS_0,86,16,1.75,149,240,119200,8000
273,Internet,164,13,9,116,116,11600,0
274,MPLS_0,74,9,0.45,8,12,5600,4900
274,MPLS_1,63,12,0.48,8,14,4800,1800
274,MPLS_2,102,15,1.99,48,86,38400,8000
274,Internet,188,16,1,39,39,3900,0
275,MPLS_0,65,7,0.76,36,70,25200,7000
275,MPLS_2,100,16,1.71,95,179,47500,1500
275,Internet,209,16,8,71,71,7100,0
276,MPLS_1,139,16,2,142,264,99400,4900
276,MPLS_0,76,13,0.6,73,124,58400,4800
276,Internet,203,14,5,201,201,20100,0
277,MPLS_2,95,14,1.44,62,94,49600,7200
277,MPLS_0,62,8,0.76,28,54,22400,3200
277,Internet,176,16,7,74,74,7400,0
278,MPLS_0,86,9,0.55,5,9,4000,5600
278,MPLS_1,82,14,1.7,12,23,6000,4500
278,Internet,176,12,5,11,11,1100,0
279,MPLS_2,138,14,1.92,47,87,32900,2100
279,MPLS_0,65,8,0.77,19,30,15200,6400
279,Internet,206,12,6,46,46,4600,0
280,MPLS_2,61,7,0.52,89,145,53400,1800
280,MPLS_0,81,16,0.86,467,923,280200,3000
280,MPLS_1,80,12,0.66,106,169,84800,5600
280,Internet,176,20,1,314,314,31400,0
281,MPLS_0,81,11,0.65,6,11,3000,1500
281,MPLS_2,84,15,1.26,9,15,7200,8000
281,Internet,150,17,7,10,10,1000,0
282,MPLS_2,60,12,0.46,69,122,48300,7000
282,MPLS_1,86,16,1.14,269,492,134500,4000
282,MPLS_0,70,10,0.45,75,120,37500,3000
282,Internet,201,14,1,243,243,24300,0
283,MPLS_2,69,8,0.72,20,32,12000,4200
283,MPLS_1,85,14,1.38,89,135,71200,3200
283,MPLS_0,81,13,0.4,20,38,16000,3200
283,Internet,168,19,6,101,101,10100,0
284,MPLS_1,83,10,0.64,5,8,3000,1800
284,MPLS_0,82,10,0.41,5,7,4000,4800
284,MPLS_2,141,14,1.74,19,32,11400,5400
284,Internet,217,18,1,23,23,2300,0
285,MPLS_1,69,13,0.77,8,15,4800,3000
285,MPLS_0,123,14,1.39,21,41,10500,4500
285,Internet,169,12,3,13,13,1300,0
286,MPLS_1,68,10,0.77,30,58,18000,6000
286,Internet,164,20,1,15,15,1500,0
287,MPLS_0,118,13,1.98,10,19,8000,2400
287,MPLS_1,86,11,0.77,1,1,800,4000
287,MPLS_2,71,10,0.42,1,1,500,1500
287,Internet,149,14,3,9,9,900,0
288,MPLS_2,148,14,1.96,100,172,60000,5400
288,MPLS_1,61,8,0.53,42,71,25200,1800
288,Internet,178,16,9,76,76,7600,0
289,MPLS_2,82,8,0.68,13,23,6500,2500
289,Internet,217,16,4,6,6,600,0
290,MPLS_1,77,8,0.51,20,32,14000,4200
290,MPLS_0,146,14,1.28,50,87,40000,7200
290,Internet,172,18,3,47,47,4700,0
291,MPLS_2,62,11,0.75,396,645,316800,4800
291,Internet,159,13,7,210,210,21000,0
292,MPLS_2,150,15,1.23,192,342,134400,4900
292,MPLS_1,81,7,0.58,67,115,46900,4200
292,Internet,187,18,4,188,188,18800,0
293,MPLS_0,85,7,0.78,43,81,30100,4200
293,MPLS_1,84,16,1.5,90,169,54000,3000
293,Internet,178,16,7,109,109,10900,0
294,MPLS_2,84,9,0.59,306,472,244800,7200
294,Internet,153,12,9,167,167,16700,0
295,MPLS_0,84,12,1.96,68,106,40800,3000
295,MPLS_2,66,7,0.57,16,29,12800,7200
295,Internet,180,16,1,37,37,3700,0
296,MPLS_1,67,11,0.69,32,50,22400,3500
296,MPLS_0,103,14,1.88,77,143,53900,4900
296,Internet,197,13,9,73,73,7300,0
297,MPLS_0,87,16,1.05,15,26,10500,2100
297,MPLS_2,83,12,0.47,7,10,4900,3500
297,Internet,140,12,2,13,13,1300,0
298,MPLS_1,72,12,0.64,37,68,22200,1800
298,MPLS_2,123,15,1.83,86,141,60200,6300
298,Internet,150,20,10,90,90,9000,0
299,MPLS_0,108,16,0.95,28,44,19600,2800
299,MPLS_2,73,11,0.65,12,18,9600,4800
299,Internet,151,16,10,17,17,1700,0
300,MPLS_1,60,12,0.56,89,136,71200,4800
300,MPLS_0,103,13,1.91,222,357,177600,3200
300,Internet,152,20,7,195,195,19500,0
301,MPLS_2,90,16,1.02,31,52,15500,2500
301,MPLS_1,82,9,0.72,10,17,8000,2400
301,Internet,200,20,9,32,32,3200,0
302,MPLS_1,74,13,0.63,25,40,20000,8000
302,MPLS_2,114,16,0.83,46,83,32200,5600
302,Internet,194,16,3,36,36,3600,0
303,MPLS_2,128,14,1.55,19,28,15200,4800
303,MPLS_1,81,9,0.41,8,15,6400,7200
303,Internet,194,19,2,20,20,2000,0
304,MPLS_0,119,16,1.99,254,486,203200,4800
304,MPLS_2,65,9,0.61,74,136,44400,3600
304,Internet,198,14,7,173,173,17300,0
305,MPLS_2,69,7,0.47,20,38,10000,2500
305,MPLS_1,80,16,1.04,46,81,36800,3200
305,Internet,159,20,3,33,33,3300,0
306,MPLS_2,77,13,0.53,6,9,4800,3200
306,MPLS_0,92,13,1.34,20,33,14000,2100
306,Internet,142,13,6,19,19,1900,0
307,MPLS_2,108,16,1.07,193,336,115800,3600
307,MPLS_0,82,12,0.71,59,99,29500,2000
307,Internet,153,14,10,167,167,16700,0
308,MPLS_1,89,10,0.51,81,132,40500,4000
308,MPLS_2,63,9,0.4,97,156,67900,2100
308,MPLS_0,98,13,1.74,376,623,225600,4200
308,Internet,174,16,10,224,224,22400,0
309,MPLS_1,145,15,1.76,30,45,18000,5400
309,MPLS_0,87,11,0.63,13,21,10400,3200
309,Internet,185,15,6,30,30,3000,0
310,MPLS_1,133,16,1.39,44,66,26400,5400
310,MPLS_2,88,7,0.66,10,16,5000,5000
310,MPLS_0,74,10,0.58,10,15,8000,6400
310,Internet,187,19,6,49,49,4900,0
311,MPLS_2,66,9,0.64,7,13,4900,5600
311,MPLS_1,141,13,1.78,35,69,24500,7000
311,MPLS_0,71,9,0.6,6,9,3000,4000
311,Internet,165,16,1,28,28,2800,0
312,MPLS_2,68,9,0.71,2,3,1600,8000
312,MPLS_1,111,13,1.52,5,8,2500,4000
312,Internet,173,17,2,3,3,300,0
313,MPLS_0,82,10,0.64,7,13,4200,3600
313,MPLS_1,117,16,1.22,15,22,10500,6300
313,Internet,183,18,3,19,19,1900,0
314,MPLS_2,138,14,1.22,27,44,21600,7200
314,MPLS_0,87,8,0.7,8,12,6400,4000
314,Internet,202,14,10,21,21,2100,0
315,MPLS_0,88,9,0.45,87,150,43500,3500
315,Internet,207,20,10,42,42,4200,0
316,MPLS_1,61,9,0.6,9,14,7200,6400
316,MPLS_0,94,15,0.99,22,43,15400,7000
316,Internet,148,20,2,14,14,1400,0
317,MPLS_2,123,12,1.25,8,14,4800,4800
317,MPLS_1,75,10,0.72,2,3,1200,2400
317,Internet,201,18,2,7,7,700,0
318,MPLS_0,132,13,1.84,168,267,100800,3600
318,MPLS_1,61,13,0.43,31,52,15500,2000
318,MPLS_2,78,12,0.45,42,67,29400,2100
318,Internet,157,19,4,97,97,9700,0
319,MPLS_1,77,7,0.61,15,25,12000,5600
319,MPLS_2,107,12,1.15,79,126,63200,8000
319,MPLS_0,83,9,0.55,19,29,13300,2100
319,Internet,176,17,7,67,67,6700,0
320,MPLS_0,119,13,1,21,34,10500,2000
320,MPLS_2,63,9,0.71,4,7,2000,1500
320,MPLS_1,70,9,0.6,4,7,3200,2400
320,Internet,204,20,9,19,19,1900,0
321,MPLS_1,60,8,0.67,17,30,8500,5000
321,MPLS_0,93,16,1.73,45,74,27000,3600
321,Internet,218,16,6,39,39,3900,0
322,MPLS_1,149,15,1.89,85,152,42500,3000
322,MPLS_2,63,10,0.53,34,65,27200,3200
322,Internet,140,12,4,82,82,8200,0
323,MPLS_0,85,11,0.42,30,52,15000,1500
323,Internet,209,13,9,13,13,1300,0
324,MPLS_2,94,16,1.64,78,130,62400,5600
324,MPLS_1,70,8,0.49,36,55,18000,4000
324,Internet,175,18,4,57,57,5700,0
325,MPLS_0,89,8,0.56,55,97,38500,6300
325,MPLS_2,68,11,0.45,46,87,32200,3500
325,MPLS_1,125,15,1.2,260,483,208000,4800
325,Internet,173,15,4,139,139,13900,0
326,MPLS_0,81,8,0.43,6,11,4200,7000
326,MPLS_1,88,13,0.54,6,11,4200,2800
326,MPLS_2,93,13,1.57,36,58,18000,2000
326,Internet,145,17,9,28,28,2800,0
327,MPLS_1,88,13,0.71,71,126,35500,5000
327,MPLS_0,84,11,0.66,54,102,37800,7000
327,MPLS_2,123,15,1.11,305,492,183000,4200
327,Internet,218,19,9,183,183,18300,0
328,MPLS_0,106,12,1.48,14,24,7000,4500
328,MPLS_1,85,8,0.75,8,13,4000,2500
328,Internet,213,12,3,15,15,1500,0
329,MPLS_1,77,8,0.43,13,24,7800,3000
329,MPLS_0,131,12,1.79,30,53,21000,7000
329,Internet,198,17,10,29,29,2900,0
330,MPLS_1,68,12,0.57,10,16,8000,7200
330,Internet,177,15,1,7,7,700,0
331,MPLS_2,77,9,0.69,3,5,1500,4000
331,MPLS_0,151,15,1.71,9,15,6300,2800
331,Internet,180,19,3,7,7,700,0
332,MPLS_2,140,16,1.58,17,28,8500,3500
332,MPLS_1,82,7,0.45,7,12,3500,2000
332,Internet,218,13,4,18,18,1800,0
333,MPLS_1,61,9,0.58,5,9,3000,3600
333,MPLS_2,94,15,1.81,33,53,16500,4500
333,MPLS_0,82,8,0.76,6,11,3000,3500
333,Internet,179,18,8,28,28,2800,0
334,MPLS_1,75,10,0.66,76,133,38000,2000
334,Internet,200,14,4,43,43,4300,0
335,MPLS_0,89,12,0.65,11,19,7700,3500
335,MPLS_2,130,15,1.45,28,42,14000,2500
335,Internet,194,18,8,29,29,2900,0
336,MPLS_1,85,8,0.47,53,86,31800,1800
336,Internet,153,12,9,31,31,3100,0
337,MPLS_1,92,12,1.68,27,44,16200,4200
337,MPLS_2,60,12,0.52,9,17,5400,2400
337,Internet,185,16,6,21,21,2100,0
338,MPLS_1,80,13,0.44,12,21,9600,7200
338,MPLS_0,142,14,2.01,37,72,25900,3500
338,Internet,208,20,9,28,28,2800,0
339,MPLS_1,72,11,0.4,28,42,16800,3000
339,Internet,168,15,8,12,12,1200,0
340,MPLS_1,149,15,1.54,65,107,45500,4200
340,MPLS_2,66,10,0.73,25,40,15000,3600
340,Internet,167,12,10,71,71,7100,0
341,MPLS_0,83,11,0.46,2,3,1200,5400
341,MPLS_1,84,14,2.02,13,24,6500,2000
341,MPLS_2,87,8,0.55,2,3,1000,4000
341,Internet,175,12,4,5,5,500,0
342,MPLS_2,67,9,0.72,14,25,11200,3200
342,MPLS_0,109,14,1.6,44,82,35200,7200
342,Internet,200,13,2,21,21,2100,0
343,MPLS_2,97,16,0.88,41,63,20500,1500
343,MPLS_0,79,12,0.58,15,28,10500,6300
343,Internet,192,15,8,44,44,4400,0
344,MPLS_2,84,7,0.65,3,5,2400,7200
344,MPLS_0,82,12,0.84,9,17,6300,4900
344,Internet,151,16,10,12,12,1200,0
345,MPLS_0,87,16,1.55,48,88,24000,4000
345,MPLS_1,63,8,0.57,9,17,6300,4200
345,MPLS_2,77,8,0.63,8,15,5600,6300
345,Internet,216,18,5,36,36,3600,0
346,MPLS_0,131,14,1.42,39,71,27300,4200
