LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
500,154,MPLS_1,94,16,1.83,153,277,76500,1500
501,154,MPLS_2,69,8,0.61,52,94,26000,3500
502,154,Internet,171,12,7.0,135,135,13500,0
503,155,MPLS_0,85,9,0.74,40,71,32000,8000
504,155,MPLS_2,143,15,1.7,84,131,42000,5000
505,155,Internet,206,16,6.0,48,48,4800,0
506,156,MPLS_2,79,7,0.56,318,488,190800,4800
507,156,Internet,206,15,4.0,148,148,14800,0
508,157,MPLS_2,63,12,0.43,5,8,3500,7000
509,157,MPLS_1,119,16,1.29,13,25,9100,4200
510,157,Internet,220,18,5.0,12,12,1200,0
511,158,MPLS_0,66,13,0.41,6,10,3600,1800
512,158,MPLS_1,83,13,1.33,15,22,7500,2500
513,158,Internet,182,19,10.0,12,12,1200,0
514,159,MPLS_1,88,9,0.6,2,3,1600,6400
515,159,MPLS_2,124,14,1.01,7,11,3500,3500
516,159,Internet,210,14,8.0,8,8,800,0
517,160,MPLS_0,76,9,0.54,39,65,23400,1800
518,160,MPLS_2,83,7,0.49,41,80,32800,4000
519,160,MPLS_1,84,12,1.2,168,253,134400,4800
520,160,Internet,200,14,3.0,154,154,15400,0
521,161,MPLS_2,90,14,1.27,20,39,16000,6400
522,161,MPLS_0,75,13,0.76,3,5,1500,3000
523,161,MPLS_1,72,11,0.77,4,7,2000,2000
524,161,Internet,167,19,10.0,8,8,800,0
525,162,MPLS_2,61,11,0.55,1,1,600,3600
526,162,MPLS_0,82,15,1.07,3,4,1800,3000
527,162,MPLS_1,71,10,0.63,1,1,700,4900
528,162,Internet,219,12,1.0,3,3,300,0
529,163,MPLS_0,82,9,0.44,375,708,262500,4900
530,163,Internet,175,12,1.0,222,222,22200,0
531,164,MPLS_2,85,12,0.43,5,9,4000,4000
532,164,MPLS_0,113,14,1.58,9,15,4500,2500
533,164,Internet,174,12,10.0,7,7,700,0
534,165,MPLS_2,84,12,0.63,3,4,1800,3000
535,165,MPLS_1,83,8,0.73,3,5,1500,5000
536,165,MPLS_0,100,15,1.29,18,27,14400,5600
537,165,Internet,205,19,10.0,19,19,1900,0
538,166,MPLS_0,124,13,0.95,20,37,16000,3200
539,166,MPLS_2,82,11,0.74,8,12,5600,3500
540,166,Internet,220,13,4.0,17,17,1700,0
541,167,MPLS_2,73,9,0.58,33,50,26400,5600
542,167,Internet,190,20,3.0,16,16,1600,0
543,168,MPLS_2,80,9,0.7,9,14,7200,4800
544,168,MPLS_0,104,15,1.98,24,43,12000,4000
545,168,Internet,209,15,5.0,22,22,2200,0
546,169,MPLS_1,70,12,0.78,28,50,19600,6300
547,169,MPLS_2,93,13,1.18,62,101,49600,8000
548,169,Internet,174,14,4.0,42,42,4200,0
549,170,MPLS_0,89,12,0.78,48,95,33600,3500
550,170,MPLS_1,148,12,1.96,209,385,104500,2000
551,170,MPLS_2,68,8,0.49,49,93,24500,1500
552,170,Internet,206,20,9.0,138,138,13800,0
553,171,MPLS_2,84,13,0.45,7,10,5600,2400
554,171,Internet,160,13,10.0,6,6,600,0
555,172,MPLS_1,68,8,0.61,11,18,8800,6400
556,172,MPLS_2,144,13,1.88,64,98,51200,4800
557,172,MPLS_0,65,8,0.78,10,16,8000,4800
558,172,Internet,187,18,3.0,36,36,3600,0
559,173,MPLS_1,69,13,0.44,8,15,6400,8000
560,173,MPLS_2,109,13,1.86,14,22,9800,2100
561,173,Internet,218,18,1.0,16,16,1600,0
562,174,MPLS_0,95,13,1.25,14,21,11200,6400
563,174,MPLS_1,70,11,0.62,4,6,2400,2400
564,174,Internet,157,19,1.0,14,14,1400,0
565,175,MPLS_2,96,16,0.92,8,12,6400,3200
566,175,MPLS_0,85,7,0.48,1,1,500,2000
567,175,MPLS_1,85,12,0.4,1,1,500,4000
568,175,Internet,169,12,3.0,10,10,1000,0
569,176,MPLS_1,77,7,0.59,9,16,5400,4200
570,176,MPLS_2,130,15,1.21,24,43,19200,4000
571,176,Internet,145,19,7.0,15,15,1500,0
572,177,MPLS_1,80,14,0.95,66,124,52800,7200
573,177,MPLS_0,88,9,0.7,22,33,13200,1800
574,177,Internet,210,20,7.0,58,58,5800,0
575,178,MPLS_1,61,9,0.63,9,17,4500,4500
576,178,MPLS_2,136,12,1.52,21,33,12600,6000
577,178,Internet,146,15,4.0,12,12,1200,0
578,179,MPLS_0,81,9,0.76,3,5,1800,3600
579,179,MPLS_2,128,12,1.45,17,28,11900,4900
580,179,MPLS_1,65,8,0.64,3,5,2100,7000
581,179,Internet,147,20,7.0,10,10,1000,0
582,180,MPLS_1,118,15,1.09,513,859,256500,5000
583,180,MPLS_2,64,13,0.49,200,355,100000,3500
584,180,Internet,152,14,4.0,497,497,49700,0
585,181,MPLS_1,71,11,0.7,24,36,19200,7200
586,181,MPLS_2,121,15,1.03,79,134,39500,4000
587,181,Internet,161,12,3.0,69,69,6900,0
588,182,MPLS_2,61,10,0.52,45,80,27000,4200
589,182,MPLS_1,74,7,0.59,44,71,30800,5600
590,182,MPLS_0,143,14,1.64,325,631,260000,5600
591,182,Internet,163,12,10.0,221,221,22100,0
592,183,MPLS_1,72,12,0.58,19,28,9500,3000
593,183,MPLS_2,130,14,0.89,43,65,34400,4000
594,183,Internet,171,18,10.0,42,42,4200,0
595,184,MPLS_2,91,12,1.17,8,15,5600,4900
596,184,MPLS_0,78,13,0.46,3,5,2100,7000
597,184,Internet,140,14,10.0,4,4,400,0
598,185,MPLS_1,85,14,1.37,87,143,69600,8000
599,185,MPLS_2,84,7,0.78,33,62,16500,3000
600,185,Internet,196,14,1.0,76,76,7600,0
601,186,MPLS_0,60,9,0.63,26,44,15600,3600
602,186,MPLS_2,106,13,1.39,54,96,43200,5600
603,186,Internet,206,17,8.0,31,31,3100,0
604,187,MPLS_0,132,12,1.76,40,79,20000,4000
605,187,MPLS_1,63,13,0.41,15,27,9000,4200
606,187,Internet,178,16,10.0,36,36,3600,0
607,188,MPLS_1,149,14,1.22,8,15,4000,2000
608,188,MPLS_2,64,9,0.52,3,5,1500,4000
609,188,Internet,214,13,6.0,5,5,500,0
610,189,MPLS_2,133,14,0.92,397,743,198500,4000
611,189,MPLS_1,63,11,0.61,163,309,97800,6000
612,189,Internet,196,12,8.0,330,330,33000,0
613,190,MPLS_0,74,13,0.45,20,32,12000,3600
614,190,MPLS_2,142,13,1.63,60,98,48000,7200
615,190,Internet,203,15,10.0,40,40,4000,0
616,191,MPLS_1,76,13,0.66,7,11,4900,6300
617,191,MPLS_0,148,16,1.29,13,21,6500,4500
618,191,Internet,213,14,8.0,15,15,1500,0
619,192,MPLS_1,106,16,1.22,20,36,14000,5600
620,192,MPLS_2,87,11,0.44,10,18,5000,2000
621,192,Internet,181,14,4.0,24,24,2400,0
622,193,MPLS_0,115,15,0.92,291,444,174600,4200
623,193,MPLS_1,79,9,0.41,56,102,28000,2000
624,193,MPLS_2,67,12,0.58,43,75,25800,4200
625,193,Internet,152,18,3.0,255,255,25500,0
626,194,MPLS_2,88,8,0.58,39,60,23400,3000
627,194,MPLS_1,100,13,1.43,164,298,114800,6300
628,194,MPLS_0,73,11,0.45,31,47,24800,7200
629,194,Internet,173,19,7.0,196,196,19600,0
630,195,MPLS_1,80,7,0.57,5,9,3500,4900
631,195,MPLS_0,104,14,1.69,27,41,13500,4500
632,195,MPLS_2,71,11,0.79,6,11,3000,5000
633,195,Internet,176,15,9.0,27,27,2700,0
634,196,MPLS_0,73,9,0.46,13,25,7800,6000
635,196,MPLS_1,131,16,1.93,62,118,31000,5000
636,196,MPLS_2,79,9,0.65,10,16,6000,1800
637,196,Internet,169,18,8.0,54,54,5400,0
638,197,MPLS_1,122,16,1.28,5,7,3500,2100
639,197,MPLS_0,62,10,0.63,1,1,700,5600
640,197,Internet,147,16,9.0,3,3,300,0
641,198,MPLS_1,65,10,0.42,5,8,3000,4800
642,198,MPLS_2,107,13,1.07,29,46,23200,2400
643,198,MPLS_0,84,9,0.79,5,7,4000,8000
644,198,Internet,218,20,4.0,15,15,1500,0
645,199,MPLS_2,70,13,0.71,19,28,15200,8000
646,199,MPLS_0,97,12,1.44,35,52,24500,3500
647,199,Internet,193,12,3.0,22,22,2200,0
648,200,MPLS_2,110,16,1.86,38,73,19000,5000
649,200,MPLS_0,83,8,0.68,13,24,6500,5000
650,200,Internet,207,20,8.0,27,27,2700,0
651,201,MPLS_0,81,12,0.75,4,7,2400,6000
652,201,MPLS_2,101,16,1.62,12,21,6000,1500
653,201,Internet,186,13,10.0,11,11,1100,0
654,202,MPLS_0,77,13,0.48,1,1,700,2100
655,202,MPLS_2,76,13,0.78,1,1,700,2800
656,202,MPLS_1,94,12,1.41,8,12,4800,2400
657,202,Internet,147,12,4.0,5,5,500,0
658,203,MPLS_1,88,9,0.44,14,27,9800,4200
659,203,MPLS_2,144,14,1.09,65,125,45500,5600
660,203,MPLS_0,66,8,0.56,14,25,8400,1800
661,203,Internet,171,20,7.0,69,69,6900,0
662,204,MPLS_1,105,12,1.93,85,143,59500,4900
663,204,MPLS_2,61,9,0.68,37,57,22200,4800
664,204,Internet,164,17,8.0,71,71,7100,0
665,205,MPLS_2,107,15,1.18,5,9,3500,5600
666,205,MPLS_0,78,8,0.45,1,1,600,4800
667,205,Internet,179,13,9.0,4,4,400,0
668,206,MPLS_1,69,11,0.58,20,35,12000,4200
669,206,MPLS_2,124,12,1.27,40,63,28000,4900
670,206,Internet,210,16,1.0,45,45,4500,0
671,207,MPLS_2,84,14,1.6,59,93,41300,5600
672,207,MPLS_0,81,9,0.73,15,26,9000,5400
673,207,Internet,166,15,1.0,52,52,5200,0
674,208,MPLS_0,68,8,0.54,11,17,6600,1800
675,208,MPLS_1,91,13,1.14,43,69,21500,5000
676,208,MPLS_2,76,12,0.66,11,17,5500,5000
677,208,Internet,147,13,4.0,51,51,5100,0
678,209,MPLS_0,101,15,0.92,45,86,22500,1500
679,209,MPLS_1,79,13,0.76,10,17,8000,7200
680,209,MPLS_2,65,7,0.68,10,16,5000,3500
681,209,Internet,143,17,7.0,25,25,2500,0
682,210,MPLS_0,78,13,0.5,142,259,113600,6400
683,210,Internet,145,16,7.0,64,64,6400,0
684,211,MPLS_1,75,12,0.54,5,9,4000,4000
685,211,MPLS_0,76,7,0.55,6,10,3000,1500
686,211,MPLS_2,150,16,0.98,27,52,21600,2400
687,211,Internet,207,16,5.0,19,19,1900,0
688,212,MPLS_2,110,14,1.77,159,241,95400,5400
689,212,MPLS_1,87,10,0.48,77,151,61600,5600
690,212,Internet,179,17,7.0,204,204,20400,0
691,213,MPLS_0,79,8,0.46,33,56,19800,3000
692,213,Internet,184,18,7.0,22,22,2200,0
693,214,MPLS_2,63,9,0.5,16,27,11200,7000
694,214,MPLS_1,68,9,0.75,13,21,9100,6300
695,214,MPLS_0,98,16,1.82,87,131,52200,2400
696,214,Internet,188,16,5.0,59,59,5900,0
697,215,MPLS_0,104,12,1.59,63,113,37800,6000
698,215,MPLS_2,83,13,0.58,25,42,15000,3000
699,215,Internet,182,12,8.0,46,46,4600,0
700,216,MPLS_1,62,8,0.77,12,22,6000,3500
701,216,MPLS_0,115,14,1.29,48,74,24000,5000
702,216,Internet,169,19,5.0,28,28,2800,0
703,217,MPLS_2,135,14,2.06,38,63,26600,4200
704,217,MPLS_1,70,8,0.47,14,27,7000,2500
705,217,Internet,151,19,5.0,38,38,3800,0
706,218,MPLS_0,81,10,0.54,25,49,20000,6400
707,218,MPLS_1,82,14,1.65,60,111,48000,4000
708,218,Internet,206,17,8.0,49,49,4900,0
709,219,MPLS_1,106,12,1.57,107,171,85600,6400
710,219,MPLS_2,69,7,0.48,38,62,22800,3600
711,219,Internet,174,12,3.0,77,77,7700,0
712,220,MPLS_1,88,8,0.59,10,19,7000,3500
713,220,Internet,141,12,7.0,5,5,500,0
714,221,MPLS_0,138,12,1.33,31,59,24800,8000
715,221,MPLS_2,68,10,0.61,14,22,11200,2400
716,221,Internet,216,19,6.0,29,29,2900,0
717,222,MPLS_0,86,13,1.63,30,53,15000,4500
718,222,MPLS_1,77,8,0.44,10,17,7000,6300
719,222,Internet,216,17,3.0,27,27,2700,0
720,223,MPLS_2,71,10,0.53,5,9,3500,2100
721,223,MPLS_0,99,13,0.84,26,51,20800,6400
722,223,MPLS_1,83,10,0.51,5,7,3000,6000
723,223,Internet,144,17,2.0,15,15,1500,0
724,224,MPLS_1,140,15,1.3,54,98,27000,1500
725,224,MPLS_2,68,11,0.57,13,25,9100,7000
726,224,MPLS_0,64,8,0.63,10,16,8000,8000
727,224,Internet,152,18,9.0,54,54,5400,0
728,225,MPLS_2,86,10,0.65,16,30,9600,4800
729,225,MPLS_1,105,14,2.03,35,65,24500,6300
730,225,Internet,160,14,9.0,21,21,2100,0
731,226,MPLS_2,139,15,1.77,14,24,8400,3600
732,226,MPLS_0,72,11,0.45,3,5,1800,1800
733,226,MPLS_1,78,10,0.65,3,5,1500,5000
734,226,Internet,142,12,1.0,12,12,1200,0
735,227,MPLS_0,147,14,1.54,83,134,41500,4500
736,227,MPLS_2,85,10,0.46,20,32,16000,3200
737,227,MPLS_1,60,13,0.72,18,30,10800,1800
738,227,Internet,197,19,7.0,66,66,6600,0
739,228,MPLS_1,80,16,1.72,18,27,9000,5000
740,228,MPLS_0,74,11,0.67,7,13,4900,5600
741,228,Internet,166,16,1.0,15,15,1500,0
742,229,MPLS_0,60,13,0.73,3,5,2400,3200
743,229,MPLS_2,71,9,0.42,2,3,1600,3200
744,229,MPLS_1,125,15,1.9,11,18,8800,6400
745,229,Internet,214,18,3.0,7,7,700,0
746,230,MPLS_0,96,15,1.09,41,67,28700,5600
747,230,MPLS_1,86,8,0.51,5,8,3500,2100
748,230,MPLS_2,86,11,0.48,6,10,4200,4200
749,230,Internet,204,15,10.0,27,27,2700,0
750,231,MPLS_1,80,11,0.56,15,27,9000,5400
751,231,MPLS_2,147,12,1.02,43,85,21500,5000
752,231,Internet,190,16,7.0,38,38,3800,0
753,232,MPLS_0,81,13,0.47,43,74,21500,3000
754,232,Internet,159,14,2.0,36,36,3600,0
755,233,MPLS_0,108,13,1.02,26,47,13000,4500
756,233,MPLS_2,69,11,0.71,10,16,5000,2500
757,233,Internet,166,20,8.0,14,14,1400,0
758,234,MPLS_2,83,10,0.55,42,82,25200,3600
759,234,MPLS_0,120,15,1.43,75,129,52500,4200
760,234,Internet,220,15,8.0,81,81,8100,0
761,235,MPLS_0,70,13,0.5,4,7,3200,4800
762,235,MPLS_2,84,14,1.1,26,39,13000,4500
763,235,MPLS_1,87,12,0.62,4,7,2000,4000
764,235,Internet,212,14,1.0,18,18,1800,0
765,236,MPLS_0,73,12,0.47,125,238,100000,8000
766,236,Internet,171,17,5.0,90,90,9000,0
767,237,MPLS_2,68,7,0.61,12,19,6000,5000
768,237,MPLS_1,132,13,2.06,26,46,18200,4900
769,237,Internet,205,12,2.0,29,29,2900,0
770,238,MPLS_0,66,13,0.55,11,21,7700,7000
771,238,MPLS_2,61,7,0.66,14,26,9800,2100
772,238,MPLS_1,129,12,2.0,57,92,28500,2500
773,238,Internet,218,13,10.0,47,47,4700,0
774,239,MPLS_0,133,15,1.53,11,21,8800,3200
775,239,MPLS_2,77,11,0.72,5,7,2500,2000
776,239,Internet,192,15,2.0,12,12,1200,0
777,240,MPLS_2,76,12,0.53,52,96,31200,4200
778,240,Internet,142,13,8.0,18,18,1800,0
779,241,MPLS_2,129,12,1.67,18,27,9000,4500
780,241,MPLS_0,75,13,0.63,7,13,5600,8000
781,241,Internet,169,14,4.0,19,19,1900,0
782,242,MPLS_1,136,13,1.24,79,119,39500,4500
783,242,MPLS_2,62,8,0.64,28,55,16800,3600
784,242,Internet,171,12,5.0,66,66,6600,0
785,243,MPLS_1,150,12,0.91,4,7,2400,5400
786,243,MPLS_2,85,7,0.4,1,1,500,3000
787,243,Internet,192,14,7.0,3,3,300,0
788,244,MPLS_0,62,13,0.65,207,400,165600,8000
789,244,MPLS_2,117,13,1.59,415,674,332000,6400
790,244,Internet,175,20,8.0,421,421,42100,0
791,245,MPLS_2,103,13,1.08,31,51,21700,7000
792,245,MPLS_0,86,12,0.45,12,18,7200,6000
793,245,Internet,160,14,8.0,25,25,2500,0
794,246,MPLS_2,66,13,0.61,7,12,5600,6400
795,246,MPLS_1,136,15,0.8,17,27,10200,4800
796,246,Internet,141,16,1.0,16,16,1600,0
797,247,MPLS_2,62,8,0.65,17,27,10200,2400
798,247,MPLS_1,88,14,2.06,44,71,30800,6300
799,247,Internet,183,17,5.0,36,36,3600,0
800,248,MPLS_1,86,13,0.44,14,27,8400,2400
801,248,MPLS_0,62,10,0.45,14,23,11200,4800
802,248,MPLS_2,127,13,1.42,83,157,66400,4000
803,248,Internet,179,14,10.0,54,54,5400,0
804,249,MPLS_0,79,12,0.72,43,65,21500,2500
805,249,MPLS_2,127,15,1.89,266,427,186200,2100
806,249,MPLS_1,87,11,0.52,45,86,31500,4900
807,249,Internet,184,15,3.0,215,215,21500,0
808,250,MPLS_1,140,14,2.08,27,46,18900,4200
809,250,MPLS_0,64,13,0.5,5,9,2500,4500
810,250,MPLS_2,85,7,0.77,6,10,3000,3000
811,250,Internet,212,12,1.0,31,31,3100,0
812,251,MPLS_1,129,16,0.84,39,67,31200,2400
813,251,MPLS_0,78,9,0.45,17,28,8500,2000
814,251,Internet,141,12,2.0,30,30,3000,0
815,252,MPLS_2,118,13,1.43,34,55,23800,4200
816,252,MPLS_0,61,7,0.77,14,22,11200,2400
817,252,Internet,161,16,6.0,30,30,3000,0
818,253,MPLS_0,119,14,1.48,206,338,144200,5600
819,253,MPLS_2,72,10,0.53,97,187,48500,2000
820,253,Internet,182,15,10.0,172,172,17200,0
821,254,MPLS_0,139,12,1.04,31,58,18600,3600
822,254,MPLS_1,75,13,0.78,13,19,10400,5600
823,254,Internet,176,13,10.0,21,21,2100,0
824,255,MPLS_2,77,7,0.56,16,27,11200,2800
825,255,MPLS_1,132,13,1.08,62,119,49600,5600
826,255,MPLS_0,66,13,0.69,14,21,9800,6300
827,255,Internet,190,14,5.0,52,52,5200,0
828,256,MPLS_1,88,12,0.77,12,22,7200,5400
829,256,MPLS_0,90,16,1.79,70,127,56000,3200
830,256,MPLS_2,75,9,0.77,11,17,5500,2000
831,256,Internet,216,19,3.0,64,64,6400,0
832,257,MPLS_2,148,12,2.09,68,122,47600,3500
833,257,MPLS_0,64,11,0.46,9,17,7200,5600
834,257,MPLS_1,86,8,0.72,13,24,6500,4500
835,257,Internet,177,14,7.0,38,38,3800,0
836,258,MPLS_2,118,12,1.82,63,104,50400,3200
837,258,MPLS_1,61,9,0.7,23,39,16100,7000
838,258,Internet,190,17,8.0,71,71,7100,0
839,259,MPLS_2,68,12,0.78,13,22,7800,1800
840,259,Internet,160,14,2.0,7,7,700,0
841,260,MPLS_1,64,7,0.51,6,10,4200,2800
842,260,MPLS_0,130,16,1.91,29,57,20300,4900
843,260,MPLS_2,78,9,0.54,7,13,3500,4000
844,260,Internet,149,20,3.0,26,26,2600,0
845,261,MPLS_2,81,15,1.15,34,53,27200,8000
846,261,MPLS_1,74,12,0.64,11,18,8800,2400
847,261,Internet,164,12,2.0,27,27,2700,0
848,262,MPLS_0,85,12,0.63,54,104,37800,6300
849,262,MPLS_2,122,15,1.35,124,237,62000,2500
850,262,Internet,174,14,5.0,104,104,10400,0
851,263,MPLS_2,90,16,1.97,16,25,11200,3500
852,263,MPLS_0,88,8,0.65,4,6,2400,6000
853,263,Internet,214,13,1.0,11,11,1100,0
854,264,MPLS_0,87,13,1.75,159,263,79500,2500
855,264,MPLS_1,87,10,0.6,71,112,56800,7200
856,264,Internet,193,15,2.0,112,112,11200,0
857,265,MPLS_0,147,14,2.03,94,142,56400,6000
858,265,MPLS_2,73,8,0.69,36,68,25200,4200
859,265,Internet,190,16,7.0,51,51,5100,0
860,266,MPLS_2,85,7,0.47,21,35,10500,5000
861,266,MPLS_0,109,12,0.85,45,71,31500,4200
862,266,Internet,180,20,7.0,43,43,4300,0
863,267,MPLS_0,112,12,1.34,24,45,19200,7200
864,267,MPLS_1,63,10,0.45,13,24,10400,5600
865,267,Internet,164,13,2.0,17,17,1700,0
866,268,MPLS_1,97,15,1.59,17,30,10200,3600
867,268,MPLS_0,69,12,0.75,4,7,2400,6000
868,268,Internet,171,15,10.0,10,10,1000,0
869,269,MPLS_1,93,12,0.94,98,154,78400,5600
870,269,MPLS_2,88,8,0.49,19,35,9500,5000
871,269,MPLS_0,79,8,0.67,21,35,10500,5000
872,269,Internet,207,20,4.0,72,72,7200,0
873,270,MPLS_2,80,10,0.46,41,65,32800,4800
874,270,MPLS_0,106,16,1.89,133,206,93100,3500
875,270,Internet,219,18,10.0,117,117,11700,0
876,271,MPLS_0,69,7,0.59,20,30,12000,4200
877,271,MPLS_1,120,15,1.37,59,95,29500,4000
878,271,Internet,187,18,2.0,57,57,5700,0
879,272,MPLS_2,87,14,1.11,114,195,79800,4200
880,272,MPLS_0,60,9,0.67,34,64,17000,1500
881,272,Internet,220,15,10.0,91,91,9100,0
882,273,MPLS_1,78,11,0.71,71,126,56800,5600
883,273,MPLS_0,86,16,1.75,149,240,119200,8000
884,273,Internet,164,13,9.0,116,116,11600,0
885,274,MPLS_0,74,9,0.45,8,12,5600,4900
886,274,MPLS_1,63,12,0.48,8,14,4800,1800
887,274,MPLS_2,102,15,1.99,48,86,38400,8000
888,274,Internet,188,16,1.0,39,39,3900,0
889,275,MPLS_0,65,7,0.76,36,70,25200,7000
890,275,MPLS_2,100,16,1.71,95,179,47500,1500
891,275,Internet,209,16,8.0,71,71,7100,0
892,276,MPLS_1,139,16,2.0,142,264,99400,4900
893,276,MPLS_0,76,13,0.6,73,124,58400,4800
894,276,Internet,203,14,5.0,201,201,20100,0
895,277,MPLS_2,95,14,1.44,62,94,49600,7200
896,277,MPLS_0,62,8,0.76,28,54,22400,3200
897,277,Internet,176,16,7.0,74,74,7400,0
898,278,MPLS_0,86,9,0.55,5,9,4000,5600
899,278,MPLS_1,82,14,1.7,12,23,6000,4500
900,278,Internet,176,12,5.0,11,11,1100,0
901,279,MPLS_2,138,14,1.92,47,87,32900,2100
902,279,MPLS_0,65,8,0.77,19,30,15200,6400
903,279,Internet,206,12,6.0,46,46,4600,0
904,280,MPLS_2,61,7,0.52,89,145,53400,1800
905,280,MPLS_0,81,16,0.86,467,923,280200,3000
906,280,MPLS_1,80,12,0.66,106,169,84800,5600
907,280,Internet,176,20,1.0,314,314,31400,0
908,281,MPLS_0,81,11,0.65,6,11,3000,1500
909,281,MPLS_2,84,15,1.26,9,15,7200,8000
910,281,Internet,150,17,7.0,10,10,1000,0
911,282,MPLS_2,60,12,0.46,69,122,48300,7000
912,282,MPLS_1,86,16,1.14,269,492,134500,4000
913,282,MPLS_0,70,10,0.45,75,120,37500,3000
914,282,Internet,201,14,1.0,243,243,24300,0
915,283,MPLS_2,69,8,0.72,20,32,12000,4200
916,283,MPLS_1,85,14,1.38,89,135,71200,3200
917,283,MPLS_0,81,13,0.4,20,38,16000,3200
918,283,Internet,168,19,6.0,101,101,10100,0
919,284,MPLS_1,83,10,0.64,5,8,3000,1800
920,284,MPLS_0,82,10,0.41,5,7,4000,4800
921,284,MPLS_2,141,14,1.74,19,32,11400,5400
922,284,Internet,217,18,1.0,23,23,2300,0
923,285,MPLS_1,69,13,0.77,8,15,4800,3000
924,285,MPLS_0,123,14,1.39,21,41,10500,4500
925,285,Internet,169,12,3.0,13,13,1300,0
926,286,MPLS_1,68,10,0.77,30,58,18000,6000
927,286,Internet,164,20,1.0,15,15,1500,0
928,287,MPLS_0,118,13,1.98,10,19,8000,2400
929,287,MPLS_1,86,11,0.77,1,1,800,4000
930,287,MPLS_2,71,10,0.42,1,1,500,1500
931,287,Internet,149,14,3.0,9,9,900,0
932,288,MPLS_2,148,14,1.96,100,172,60000,5400
933,288,MPLS_1,61,8,0.53,42,71,25200,1800
934,288,Internet,178,16,9.0,76,76,7600,0
935,289,MPLS_2,82,8,0.68,13,23,6500,2500
936,289,Internet,217,16,4.0,6,6,600,0
937,290,MPLS_1,77,8,0.51,20,32,14000,4200
938,290,MPLS_0,146,14,1.28,50,87,40000,7200
939,290,Internet,172,18,3.0,47,47,4700,0
940,291,MPLS_2,62,11,0.75,396,645,316800,4800
941,291,Internet,159,13,7.0,210,210,21000,0
942,292,MPLS_2,150,15,1.23,192,342,134400,4900
943,292,MPLS_1,81,7,0.58,67,115,46900,4200
944,292,Internet,187,18,4.0,188,188,18800,0
945,293,MPLS_0,85,7,0.78,43,81,30100,4200
946,293,MPLS_1,84,16,1.5,90,169,54000,3000
947,293,Internet,178,16,7.0,109,109,10900,0
948,294,MPLS_2,84,9,0.59,306,472,244800,7200
949,294,Internet,153,12,9.0,167,167,16700,0
950,295,MPLS_0,84,12,1.96,68,106,40800,3000
951,295,MPLS_2,66,7,0.57,16,29,12800,7200
952,295,Internet,180,16,1.0,37,37,3700,0
953,296,MPLS_1,67,11,0.69,32,50,22400,3500
954,296,MPLS_0,103,14,1.88,77,143,53900,4900
955,296,Internet,197,13,9.0,73,73,7300,0
956,297,MPLS_0,87,16,1.05,15,26,10500,2100
957,297,MPLS_2,83,12,0.47,7,10,4900,3500
958,297,Internet,140,12,2.0,13,13,1300,0
959,298,MPLS_1,72,12,0.64,37,68,22200,1800
960,298,MPLS_2,123,15,1.83,86,141,60200,6300
961,298,Internet,150,20,10.0,90,90,9000,0
962,299,MPLS_0,108,16,0.95,28,44,19600,2800
963,299,MPLS_2,73,11,0.65,12,18,9600,4800
964,299,Internet,151,16,10.0,17,17,1700,0
965,300,MPLS_1,60,12,0.56,89,136,71200,4800
966,300,MPLS_0,103,13,1.91,222,357,177600,3200
967,300,Internet,152,20,7.0,195,195,19500,0
968,301,MPLS_2,90,16,1.02,31,52,15500,2500
969,301,MPLS_1,82,9,0.72,10,17,8000,2400
970,301,Internet,200,20,9.0,32,32,3200,0
971,302,MPLS_1,74,13,0.63,25,40,20000,8000
972,302,MPLS_2,114,16,0.83,46,83,32200,5600
973,302,Internet,194,16,3.0,36,36,3600,0
974,303,MPLS_2,128,14,1.55,19,28,15200,4800
975,303,MPLS_1,81,9,0.41,8,15,6400,7200
976,303,Internet,194,19,2.0,20,20,2000,0
977,304,MPLS_0,119,16,1.99,254,486,203200,4800
978,304,MPLS_2,65,9,0.61,74,136,44400,3600
979,304,Internet,198,14,7.0,173,173,17300,0
980,305,MPLS_2,69,7,0.47,20,38,10000,2500
981,305,MPLS_1,80,16,1.04,46,81,36800,3200
982,305,Internet,159,20,3.0,33,33,3300,0
983,306,MPLS_2,77,13,0.53,6,9,4800,3200
984,306,MPLS_0,92,13,1.34,20,33,14000,2100
985,306,Internet,142,13,6.0,19,19,1900,0
986,307,MPLS_2,108,16,1.07,193,336,115800,3600
987,307,MPLS_0,82,12,0.71,59,99,29500,2000
988,307,Internet,153,14,10.0,167,167,16700,0
989,308,MPLS_1,89,10,0.51,81,132,40500,4000
990,308,MPLS_2,63,9,0.4,97,156,67900,2100
991,308,MPLS_0,98,13,1.74,376,623,225600,4200
992,308,Internet,174,16,10.0,224,224,22400,0
993,309,MPLS_1,145,15,1.76,30,45,18000,5400
994,309,MPLS_0,87,11,0.63,13,21,10400,3200
995,309,Internet,185,15,6.0,30,30,3000,0
996,310,MPLS_1,133,16,1.39,44,66,26400,5400
997,310,MPLS_2,88,7,0.66,10,16,5000,5000
998,310,MPLS_0,74,10,0.58,10,15,8000,6400
999,310,Internet,187,19,6.0,49,49,4900,0
1000,311,MPLS_2,66,9,0.64,7,13,4900,5600
1001,311,MPLS_1,141,13,1.78,35,69,24500,7000
1002,311,MPLS_0,71,9,0.6,6,9,3000,4000
